_id,title,tuotenumero,createdAt,updatedAt,__v,artist,created_by,updated_by,Taiteilija,teosnimi,nayttokuva,hinta,korkeus,leveys,tekniikka,valmistumisvuosi,vedosmaara
5f75bf4a2adb35056c7874ff,Kiippa,,2020-10-01T11:36:42.353Z,2020-10-01T11:36:42.376Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6899f6e380b82d111d5212,Venevaja,[],250,50,65,Serigrafia,1993,
5f75c1b82adb35056c787500,Soisalo,,2020-10-01T11:47:04.605Z,2020-10-01T11:47:04.617Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689a0de380b82d111d5213,Terra Nova I,[],380,77,62,Serigrafia,1989,100
5f75c1f32adb35056c787501,Soisalo,,2020-10-01T11:48:03.467Z,2020-10-01T11:48:03.479Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689a0de380b82d111d5213,Terra Nova II,[],380,91,63,Serigrafia,1989,100
5f75c26a2adb35056c787502,Soisalo,,2020-10-01T11:50:02.398Z,2020-10-01T11:50:02.414Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689a0de380b82d111d5213,Eilisen tulevaisuus ,[],380,73,61,Serigrafia,1990,100
5f75c2d22adb35056c787503,Para,,2020-10-01T11:51:46.035Z,2020-10-01T11:51:46.049Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689a22e380b82d111d5214,Sinisade,[],200,48,32,Serigrafia,,175
5f75c3f92adb35056c787504,Dumontet,,2020-10-01T11:56:41.662Z,2020-10-01T11:56:41.673Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689a36e380b82d111d5215,Opaline II,[],200,50,65,Serigrafia,,175
5f75c4302adb35056c787505,Dumontet,,2020-10-01T11:57:36.642Z,2020-10-01T11:57:36.655Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689a36e380b82d111d5215,Coquillage II,[],200,65,50,Serigrafia,,175
5f75c4672adb35056c787506,Dumontet,,2020-10-01T11:58:31.547Z,2020-10-01T11:58:31.559Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689a36e380b82d111d5215,Eventail,[],200,66,50,Serigrafia,,175
5f75c4d52adb35056c787507,Marmonnier,,2020-10-01T12:00:21.373Z,2020-10-07T13:32:24.490Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68976ae380b82d111d51fd,Passion,[],200,50,39,Etsaus,,30
5f75c52e2adb35056c787508,Marmonnier,,2020-10-01T12:01:50.197Z,2020-10-07T13:32:35.667Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68976ae380b82d111d51fd,Cathedrale,[],200,50,39,Etsaus,,30
5f75c5532adb35056c787509,Marmonnier,,2020-10-01T12:02:27.463Z,2020-10-07T13:32:45.069Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68976ae380b82d111d51fd,Offrande,[],200,50,39,Etsaus,,20
5f7717f52adb35056c78755d,Koivikko,,2020-10-02T12:07:17.290Z,2020-10-02T21:25:38.745Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f689985e380b82d111d520f,Alla tähtien,"[{""$oid"":""5f764a2c2adb35056c787511""}]",300,,,Serigrafia,2012,180
5f77183e2adb35056c78755e,Koivikko,,2020-10-02T12:08:30.426Z,2020-10-02T12:08:30.445Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689985e380b82d111d520f,Kouluaamu,[],320,43,52,Serigrafia,2016,180
5f7718ce2adb35056c78755f,Koivikko,,2020-10-02T12:10:54.244Z,2020-10-02T12:10:54.259Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689985e380b82d111d520f,Iltarusko,[],320,53,42,Serigrafia,2015,180
5f7719172adb35056c787560,Koivikko,,2020-10-02T12:12:07.245Z,2020-10-02T21:52:52.803Z,0,,5f688f48e380b82d111d51f5,5f5e939f267b3176509901b3,5f689985e380b82d111d520f,Hyvä lähestyminen,"[{""$oid"":""5f764a2c2adb35056c787518""}]",330,43,55,Serigrafia,2011,180
5f7719592adb35056c787561,Koivikko,,2020-10-02T12:13:13.232Z,2020-10-02T12:13:13.245Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689985e380b82d111d520f,Tähtisadetta,[],320,49,40,Serigrafia,2007,170
5f771a102adb35056c787562,Koivikko,,2020-10-02T12:16:16.227Z,2020-10-02T12:16:16.241Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689985e380b82d111d520f,Lyhteellä,[],320,58,45,Serigrafia,2018,180
5f771a532adb35056c787563,Koivikko,,2020-10-02T12:17:23.202Z,2020-10-02T12:17:23.214Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689985e380b82d111d520f,Lumilyhdyllä,[],320,53,42,Serigrafia,2014,180
5f771aa82adb35056c787564,Koivikko,,2020-10-02T12:18:48.875Z,2020-10-02T12:18:48.887Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689985e380b82d111d520f,Draiveripoika,[],150,40,30,Serigrafia,1999,100
5f771ae52adb35056c787565,Koivikko,,2020-10-02T12:19:49.031Z,2020-10-02T12:19:49.044Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689985e380b82d111d520f,Alla lyhdyn,[],300,46,35,Serigrafia,2015,180
5f771b1c2adb35056c787566,Koivikko,,2020-10-02T12:20:44.922Z,2020-10-02T12:20:44.932Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f689985e380b82d111d520f,Kesäyössä,[],300,46,35,Serigrafia,2015,180
5f779cbb2adb35056c78756c,Tamminen,,2020-10-02T21:33:47.414Z,2020-10-17T09:37:52.527Z,0,,5f5e939f267b3176509901b3,5f688f48e380b82d111d51f5,5f7239576ed38803f5d48675,Iltapäivällä,[],320,39,27,Serigrafia,2011,150
5f77a30e2adb35056c787577,Mikkonen,,2020-10-02T22:00:46.489Z,2020-10-02T22:00:46.518Z,0,,5f5e939f267b3176509901b3,5f5e939f267b3176509901b3,5f6897fde380b82d111d5201,Lotus,"[{""$oid"":""5f764a2a2adb35056c78750c""}]",440,56,40,Litografia,2010,100
5f7afc4c2adb35056c787599,Woods,,2020-10-05T10:58:20.632Z,2020-10-05T10:58:20.651Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f7afb532adb35056c787598,Huokauksien kaupunki,[],140,35,30,Serigrafia,2013,75
5f7afeea2adb35056c78759a,Mikkonen,,2020-10-05T11:09:30.966Z,2020-10-07T13:35:41.173Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6897fde380b82d111d5201,Sininen lintu,[],600,,,Litografia,2003,30
5f7affc22adb35056c78759b,Mikkonen,,2020-10-05T11:13:06.645Z,2020-10-05T11:13:06.657Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f6897fde380b82d111d5201,Lily,[],440,,,Litografia,2008,100
5f7eef3a2adb35056c78759c,Polameri,,2020-10-08T10:51:38.052Z,2020-10-08T10:51:38.068Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Puu - kevät,[],350,38,32,Serigrafia,1988,
5f7eef642adb35056c78759d,Polameri,,2020-10-08T10:52:20.537Z,2020-10-08T10:52:20.550Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Puu - kesä,[],350,38,32,Serigrafia,1988,
5f7eef8d2adb35056c78759e,Polameri,,2020-10-08T10:53:01.267Z,2020-10-08T10:53:01.281Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Puu - syksy,[],,38,32,Serigrafia,1988,
5f7ef0452adb35056c78759f,Polameri,,2020-10-08T10:56:05.076Z,2020-10-08T10:56:05.092Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Iso metsälintu,[],150,32,45,Serigrafia,1990,
5f7ef08f2adb35056c7875a0,Polameri,,2020-10-08T10:57:19.203Z,2020-10-08T10:57:19.216Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Lapin erämaja,[],150,,,Serigrafia,,
5f7ef0b52adb35056c7875a1,Polameri,,2020-10-08T10:57:57.610Z,2020-10-08T10:57:57.622Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Teeri / Riekko,[],,,,Serigrafia,,
5f7ef0fb2adb35056c7875a2,Polameri,,2020-10-08T10:59:07.704Z,2020-10-08T10:59:07.715Z,0,,5f688f48e380b82d111d51f5,5f688f48e380b82d111d51f5,5f68967ae380b82d111d51f6,Perhonen,[],150,35,26,Serigrafia,1992,
